Topic,Count,Name,Top_Words
0,445,0_average_runs_species_run,"average, runs, species, run, pitcher, earned, family, national, record, population"
1,1,1_battalion_regiment_album_world,"battalion, regiment, album, world, company, brigade, division, war, army, music"
2,30,2_regiment_battalion_division_army,"regiment, battalion, division, army, brigade, infantry, war, artillery, corps, battle"
3,98,3_best_film_awards_award,"best, film, awards, award, feature, actor, outstanding, films, screenplay, actress"
4,16,4_album_released_song_music,"album, released, song, music, band, episode, single, chart, records, studio"
5,27,5_roman_moscow_constantinople_bc,"roman, moscow, constantinople, bc, army, great, rome, russian, war, division"
6,36,6_league_club_team_cup,"league, club, team, cup, season, played, football, member, tier, championship"
7,39,7_species_lanka_sri_indian,"species, lanka, sri, indian, genus, family, mm, described, long, schistura"
8,14,8_railway_station_company_business,"railway, station, company, business, line, building, production, service, services, steam"
9,75,9_album_song_music_released,"album, song, music, released, band, chart, single, vocals, songs, track"
10,2,10_county_average_canadian_progressive,"county, average, canadian, progressive, river, rep, conservative, creek, canada, high"
11,29,11_university_life_party_published,"university, life, party, published, american, family, church, book, magazine, school"
12,28,12_german_division_flanders_regiment,"german, division, flanders, regiment, village, member, west, club, dutch, war"
13,2,13_regiment_war_army_division,"regiment, war, army, division, built, battalion, city, house, battle, history"
14,35,14_chinese_china_best_film,"chinese, china, best, film, temple, dynasty, episode, india, town, yu"
15,29,15_gun_navy_guns_air,"gun, navy, guns, air, inch, class, naval, fleet, aircraft, airport"
16,12,16_novel_brother_abbey_man,"novel, brother, abbey, man, heresy, story, murder, hugh, canon, bishop"
17,15,17_building_built_historic_street,"building, built, historic, street, england, city, house, church, heritage, south"
18,63,18_party_election_minister_elected,"party, election, minister, elected, votes, conservative, rep, liberal, assembly, dem"
19,11,19_systems_architect_users_requirements,"systems, architect, users, requirements, domain, security, university, research, health, medical"
20,113,20_party_elected_school_election,"party, elected, school, election, minister, general, national, state, member, members"
21,12,21_japanese_japan_released_ray,"japanese, japan, released, ray, album, rachael, release, cd, digital, film"
22,95,22_house_england_historic_building,"house, england, historic, building, built, river, site, heritage, water, west"
23,30,23_asteroid_au_data_earth,"asteroid, au, data, earth, diameter, orbit, magnitude, distance, km, object"
24,23,24_minister_party_law_state,"minister, party, law, state, african, university, general, elected, council, election"
25,22,25_church_constantinople_moscow_orthodox,"church, constantinople, moscow, orthodox, bishop, temple, england, messages, metropolitan, god"
26,25,26_book_novel_isbn_published,"book, novel, isbn, published, library, writers, books, work, literary, french"
27,36,27_member_district_best_album,"member, district, best, album, group, team, music, ton, film, radio"
28,9,28_school_university_college_students,"school, university, college, students, texas, research, institute, education, conference, season"
29,64,29_battalion_regiment_division_infantry,"battalion, regiment, division, infantry, army, brigade, war, artillery, battle, corps"
30,32,30_opposition_event_athlete_rank,"opposition, event, athlete, rank, final, score, medalist, men, kg, silver"
31,46,31_cartridge_magnum_winchester_rifle,"cartridge, magnum, winchester, rifle, cartridges, bullet, model, mm, ft, caliber"
32,48,32_rank_event_final_medalist,"rank, event, final, medalist, athlete, opposition, score, bronze, spain, men"
33,11,33_population_village_district_municipality,"population, village, district, municipality, census, rural, town, county, province, located"
34,29,34_bis_enzyme_diphenylphosphino_compound,"bis, enzyme, diphenylphosphino, compound, reaction, formula, dehydrogenase, protein, ligand, acid"
35,25,35_op_music_orchestra_piano,"op, music, orchestra, piano, symphony, beethoven, violin, opera, allegro, le"
36,41,36_river_area_forest_mountain,"river, area, forest, mountain, west, park, mountains, located, pass, summit"
37,4,37_australia_australian_house_cement,"australia, australian, house, cement, south, site, western, wales, hospital, building"
38,56,38_university_domain_library_research,"university, domain, library, research, pas, asia, used, school, centre, science"
39,46,39_season_league_team_club,"season, league, team, club, member, cup, tier, football, fc, division"
40,1,40_women_album_film_united,"women, album, film, united, song, released, states, music, world, festival"
41,95,41_album_band_released_song,"album, band, released, song, chart, music, vocals, single, guitar, track"
42,22,42_french_art_pierre_paris,"french, art, pierre, paris, museum, painting, france, le, la, paintings"
43,57,43_film_album_best_music,"film, album, best, music, korean, song, released, english, book, episode"
44,36,44_episode_series_tate_episodes,"episode, series, tate, episodes, awards, television, catherine, comedy, aired, best"
45,15,45_film_episode_series_story,"film, episode, series, story, episodes, plot, best, shane, rick, star"
