feature,count,mean_activation,best_rank
26795,4844,0.108040403631615,1
0,2362,0.0,25
34814,2253,0.05992630707109128,3
1,1963,0.0,25
17709,1953,0.09071007991258266,1
29262,1920,0.07101533019449562,1
7888,1843,0.08549398342091884,1
3818,1760,0.06601854460313916,2
2,1596,0.0,25
21589,1482,0.0842339847030749,1
4,1466,0.03278109949402318,1
40844,1405,0.08218743245902858,1
3,1243,0.0,25
17577,1241,0.12203116807111034,1
40054,1191,0.1917727199405757,1
24800,1182,0.06557431066638826,1
18992,1108,0.07943020009230621,1
7188,1089,0.0649711034124712,1
7355,1083,0.07114412203527444,1
3988,1055,0.17200353460571777,1
2422,1007,0.05997488690612333,4
13420,997,0.060023358743731214,1
39295,972,0.0910623442772546,1
24529,909,0.24459722356991667,1
14218,886,0.06277284760271992,2
38783,836,0.16343865973616473,1
17899,830,0.07954770254801555,1
47405,817,0.10596962473292537,1
34286,816,0.0696925397816242,1
18001,813,0.11475878677171682,1
9785,799,0.129317029900336,1
8661,778,0.0954668367458723,1
5727,773,0.16008422226870353,1
48296,765,0.08959210999066533,1
12010,762,0.1175414915551038,1
14053,731,0.06691788468718855,1
23681,727,0.09368592898324235,1
35213,727,0.07284526161060373,1
16151,724,0.05805071329090806,3
5,706,0.0007974608529559613,12
45607,697,0.11151732835742288,1
18237,672,0.09611754807355326,1
9886,635,0.12776590385070935,1
5720,630,0.07680147625505925,1
44849,626,0.09088043481730425,1
8338,589,0.09697341801937043,1
48956,581,0.08287104964256287,1
4669,568,0.06479430256385199,1
47763,565,0.09432182338385456,1
23416,557,0.07205383609344972,1
46058,551,0.06039276664329527,4
41736,542,0.08247549978954326,1
43101,542,0.0710544566592937,1
41997,536,0.09049750366873706,1
26431,536,0.055233297855662764,6
26325,534,0.0742370192701004,1
41163,534,0.06430974562237325,1
3503,531,0.10728921007414098,1
39985,531,0.08118415080894859,1
39311,524,0.06858527654682407,1
22463,518,0.07198470326061414,1
34546,515,0.14540773702477947,1
39778,498,0.07622884044865048,1
6,488,0.0,21
27034,480,0.1123569905757904,1
12318,472,0.08424327340198018,2
953,458,0.10612817643836596,1
12243,454,0.08281962329825378,1
16607,454,0.08190560902136539,2
7194,453,0.1308193721502164,1
43571,451,0.18118568259537088,1
7946,451,0.0672204714276706,2
44332,448,0.11823733333897378,1
3490,447,0.1506053225472736,1
31623,447,0.08207059404927346,1
12490,446,0.12992607217465815,1
9538,439,0.07640679552302546,1
19382,439,0.05776867497041991,4
22763,434,0.07524721398262933,1
8550,431,0.0688664493369254,1
47497,430,0.08623942073521226,1
6401,430,0.08209818194425383,1
24824,427,0.09598210540358021,1
8068,425,0.08057860647930819,1
39563,425,0.062201569553683785,3
16926,423,0.07674586210162082,1
22072,421,0.1105378396596733,1
26352,404,0.07713468558164222,1
36703,402,0.08717803695049156,1
37366,401,0.05762745837618288,6
32953,394,0.05805102783033085,3
39662,393,0.06947361274074962,2
43572,392,0.07448969366104931,1
46714,391,0.08044933467684194,1
16556,391,0.057760897652267496,4
47494,383,0.0836495309387268,1
31945,378,0.0802273941891534,1
6447,377,0.12714507015772777,1
45186,376,0.07601766435905023,1
18418,375,0.11624867615103722,1
16426,375,0.0880642124414444,1
13737,368,0.08003547062854403,1
47281,368,0.07852394461793744,1
6021,368,0.07716000016333292,1
36508,363,0.08337232018962051,1
22451,362,0.07187430019289749,1
23887,361,0.09605818654609188,1
46377,356,0.08480284176766872,1
26967,351,0.10126089145485152,1
48556,351,0.08289021985907839,1
41283,342,0.09014066431823878,1
11040,341,0.0652051848793659,1
33491,334,0.06581829719156206,2
8529,333,0.06264876672723987,1
6365,332,0.0825446014887238,1
7,330,0.0,21
598,329,0.05960382670617031,4
32512,327,0.08105246084728007,1
9400,327,0.06647708834311285,2
44475,326,0.09345146783976102,1
20041,324,0.06860511510828395,2
14229,321,0.0701621157172313,1
16658,320,0.08236115740146488,1
34272,319,0.08142132797865284,1
7441,317,0.08294882820419709,1
31183,313,0.07312025215488653,1
39140,309,0.07390869510115929,1
14638,303,0.08192355571800333,1
26291,303,0.07852712558834467,2
38618,302,0.08249942837468047,1
22410,300,0.07717292100191116,1
17352,300,0.055804535051186877,4
37423,299,0.0692861293968947,1
24836,297,0.11726214976272599,1
4301,297,0.11172981923979139,1
8726,294,0.09798364837964375,1
31091,293,0.07799647201755348,1
5798,291,0.07708184761587288,1
36565,285,0.06619658930259839,2
39298,282,0.10827118400088016,1
21610,281,0.08440382327897693,1
15028,280,0.07146703974742974,1
23242,280,0.05542291011661291,5
36169,276,0.16909127828219664,1
31690,275,0.06891345368190245,1
13715,275,0.05991281772201711,3
17302,274,0.07089042421566309,1
3532,274,0.06879917249409821,1
30075,268,0.053961351764068674,5
25841,267,0.06194030327464311,1
17445,264,0.09538665100593459,1
23076,262,0.07483973612880888,1
33622,262,0.061759106246114685,1
5168,261,0.10392878948214868,1
3702,261,0.06650393133647597,2
43551,255,0.09772131478085237,1
37876,252,0.06496741924257506,2
6820,248,0.09886693726143529,1
48673,247,0.07730058411716932,1
16674,243,0.0848033137527513,1
22065,242,0.10972508200067134,1
22392,242,0.06134271270726338,1
45831,238,0.06337478030629519,1
7953,235,0.06693759267317488,3
33155,233,0.05401095084430322,4
13399,232,0.13512070505911933,1
3687,228,0.10339668148050182,1
38702,226,0.06159223568320802,2
31286,224,0.15066860799145484,1
17534,223,0.07209990574506366,1
33646,222,0.07639330640636585,1
44866,217,0.11389637220015723,1
35375,217,0.08316658828665034,2
26199,215,0.06865696570900984,1
22445,215,0.059428873623526376,3
41667,213,0.07222806854706974,1
3502,213,0.05614160924730167,9
13776,212,0.07188283558934927,2
34056,212,0.06306895803449289,2
8585,210,0.08116705140897205,1
11724,209,0.089332207716538,1
8,209,0.0,21
27732,205,0.07240170031422521,2
45390,204,0.127891706540158,1
4093,203,0.08248188654924261,1
1538,203,0.07537402741133874,3
4287,200,0.1331393378227949,1
10061,200,0.07900680053979159,1
44885,200,0.0740564525872469,1
8459,200,0.056068130210042,3
36413,195,0.11247048343603427,1
8894,195,0.07035756424451485,1
42074,194,0.06084992099054081,1
11433,192,0.06308945970765005,3
6582,191,0.0698636850410419,2
44433,190,0.09231135758914445,2
19366,190,0.08392656970965234,1
28851,189,0.06270429095815098,1
664,188,0.10539421030974135,1
21248,188,0.057178408066008955,7
17078,186,0.07623963949260532,1
27031,186,0.061398598535727426,2
19249,183,0.08312599511582995,1
36580,182,0.053446292385950195,1
12142,179,0.10040620152510744,1
2615,178,0.0882520859412263,1
41881,174,0.0686933107288747,1
975,171,0.05740196534503273,4
39217,170,0.10883133849676918,1
11150,170,0.08395878488526624,1
31400,169,0.0699600372353249,1
7326,167,0.08155932616509363,1
13134,167,0.07420327559024274,2
41888,167,0.06328790235572947,3
829,167,0.06242470157717516,5
11761,165,0.05545549943591609,7
46622,164,0.11973453081417375,1
24373,164,0.09108309724890604,1
24943,164,0.07999681495130062,2
37777,163,0.11197898130109706,1
17766,163,0.0970440302158426,1
2014,162,0.09221830803119106,1
46432,161,0.06349931342631393,1
